_rid,predicted_score,description,country,price,variety,winery,title
db0cfd6ac3b1f27c,87,"Sourcing from three different, widely drawn appellations, with 33% of the grapes from Sonoma County, this white offers lemon-lime and grapefruit around a thin core of dried mint and lavender. Easygoing and not too fussy, it'll do well with food.",US,20,Chardonnay,Ghost Pines,Ghost Pines 2013 Winemaker's Blend Chardonnay (Sonoma County-Monterey County-Napa County)
6dea0f13913dfeca,94,"A bit lighter in color than the producer's other 2012 bottling, this shows aromas of fresh-pressed raspberry juice, cola, white sage, graphite and a hint of wet asphalt. It's light and airy on the palate, with more raspberry and pomegranate fruit as well as sage, thyme and anise. It provides great balance between ripe juice and herbal seasonings.",US,84,Pinot Noir,Brewer-Clifton,Brewer-Clifton 2012 Hapgood Pinot Noir (Sta. Rita Hills)
c5049117ea11c0a6,94,"Named for an apple variety once common to the area, this vineyard sits outside the town of Graton in Green Valley and was developed in 2007. Elegant and weighty, it shows a youthful tightness of tannin and oak, its savory twists of black tea, blackberry and rhubarb compote chomping at the bit to be enjoyed. The acidity is mouthwatering.",US,85,Pinot Noir,EnRoute,EnRoute 2014 Northern Spy Vineyard Pinot Noir (Russian River Valley)
9bd61c8179ef4c93,91,"James Mantone's white wines are always full of delicious fruits, but they go beyond that, bringing in sometimes exotic, often surprising grace notes. Here there is a pure thread of caraway, running through the melon and white peach core. It's 100% Roussanne, giving a rare and interesting glimpse into what specific identity the grape might have in Washington's future.",US,22,Roussanne,Syncline,Syncline 2009 Roussanne (Horse Heaven Hills)
9141d82ec01d2207,88,"Slightly high-toned and sharp, this Bordeaux-style blend of 40% Merlot, 40% Cabernet Sauvignon and 20% Cabernet Franc was aged in a mix of French and American oak. Cherry cola flavors, with a dash of sassafras, are highlighted with hints of toasted walnuts. It's a good value, a bit tannic, but drinking nicely right now.",US,20,Bordeaux-style Red Blend,Market Vineyards,Market Vineyards 2010 Derivative Red (Columbia Valley (WA))
559415b569b8aaad,89,"Dark in color, this aromatic brooder brings notes of pencil lead, herb and black and purple fruit. Flavors are rich and liquorous, showing tannic heft along with a bit of astringency. The variety isn't readily apparent but the wine is delicious all the same.",US,42,Cabernet Franc,Swiftwater Cellars,Swiftwater Cellars 2014 Cabernet Franc (Columbia Valley (WA))
e7978c77916fe177,85,"This may be the grapy-est, jammy-est wine on the market. Aromas are like Concord jam, while flavors recall Welch's juice. The body is full and the texture moderately tannic.",US,15,Primitivo,Boeger,Boeger 2013 Primitivo (El Dorado)
9ae165c714379e49,92,"This could be labeled Merlot, which comprises three-quarters of the Bordeaux-style blend. Big, bold, dark and intensely aromatic, it's a bit tight and tannic at first, but opens gracefully into well-layered, powerfully-structured flavors of violets and smoke, cherries and chocolate. Highlights of ground coffee and graphite extend through the finish.",US,48,Bordeaux-style Red Blend,Mark Ryan,Mark Ryan 2011 Long Haul Red (Columbia Valley (WA))
b75459629de540e5,85,"Quite fruity and straightforward, with pleasant peach, melon and citrus flavors. The finish is clean and fresh and the wine well balanced.",US,9,Johannisberg Riesling,Robert Mondavi,Robert Mondavi 2002 Private Selection Johannisberg Riesling (Central Coast)
5a3d7784ce343afd,92,"If ripe, jammy fruit is what you like in an Oregon Pinot, this is your baby. A generous amount of strawberry and cherry flavor is wrapped in a cloak of chocolate from 14+ months in 60% new French oak.",US,50,Pinot Noir,Bomb,Bomb 2012 Pinot Noir (Willamette Valley)
d1904bedd230170b,85,Sweet red wines are hard to come by but Lescombes in New Mexico offers up this passable Beaujolais-like example. Scents of cinnamon spice and blueberry flavors in the mouth complete the unique profile.,US,36,Cabernet Franc,D.H. Lescombes,D.H. Lescombes 2007 Limited Release Cabernet Franc (New Mexico)
a06ebc1e8511d531,91,"Here's a vibrantly fruity, fresh young wine. It's light in texture and silky, with crisp, lip-smacking flavors of cherries, raspberries, licorice, cola, clove and cinnamon. Delicious now.",US,28,Pinot Noir,Kynsi,Kynsi 2005 Pinot Noir (Edna Valley)
4ea5bf5169bb0077,91,"Impeccably fresh, vivid and textural, this appealing wine brings a mix of orange peel, pink grapefruit and pear fruit. There's a pleasing touch of spice, and all but 5% was stainless-steel fermented.",US,17,Pinot Gris,Lange,Lange 2015 Pinot Gris (Willamette Valley)
1f9773d0d924370a,92,"This dense, round, full-bodied red from a quiet appellation offers smoked plum and dark cherry flavors, with integrated oak and tannin.",US,40,Cabernet Sauvignon,Fortress,Fortress 2013 Knights Reserve Cabernet Sauvignon (Knights Valley)
db805bc25d84567d,87,"A Pommard clone, single-block bottling, this is jangly and tart, with pleasantly tangy raspberry and cherry candy fruit flavors. The promising beginning is not matched with the depth and complexity that a more complete blend would offer.",US,44,Pinot Noir,Winter's Hill,Winter's Hill 2012 Block 4 Pinot Noir (Dundee Hills)
4a4c24af199db071,87,"With a notable orange tinge, the aromas offer notes of flowers and orange peel, seeming to show a touch of oxygen exposure. It drinks off dry, with abundant orange-rind and smoke flavors.",US,20,Pinot Gris,Almquist,Almquist 2014 L茅 Orange Vintner's Select Pinot Gris (Washington)
69a12c9b77f09473,94,"Some winemakers have a special feel for Pinot Noir, and Michael Stevenson, winemaker for Elizabeth Chambers, has earned a place among those select few. Previously known as Panther Creek, the winery has been re-branded and re-imagined under the current owners. This deliberate, controlled single vineyard effort punches through with a concentrated mix of plum, rhubarb and cherry fruit, showing exceptional grip, balance and length.",US,48,Pinot Noir,Elizabeth Chambers,Elizabeth Chambers 2014 Menefee Vineyard Pinot Noir
83fd880f2d392612,85,"Innocuous red fruit and a density of baked plum provide a fruity plushness in this travel-size wine, 100% varietal with ample tannin.",US,13,Cabernet Sauvignon,FlyWine,FlyWine 2013 The Closer Cabernet Sauvignon (Coombsville)
ac8b6863ec04c4cc,87,"Raspberries, cherries, cola and persimmons are the flavors of this fairly standard Pinot Noir. It's dry and delicately structured, with good acidity and a discrete coating of oak. Drink now.",US,59,Pinot Noir,Envolve,Envolve 2012 Lennox Vineyard Pinot Noir (Russian River Valley)
7771e461d50a13bb,91,"Floral and fruity, with hints of peach, muskmelon and quince, this concentrated Sauvignon Blanc bursts with fruity sweetness on the attack, becoming refreshingly dry and minerally on the midpalate. Lime-like acidity brightens the long, white-peach-flavored finish.",US,18,Sauvignon Blanc,Hazlitt 1852 Vineyards,Hazlitt 1852 Vineyards 2011 Sauvignon Blanc (Finger Lakes)
fa54d0241ca88adb,82,"An odd, one-dimensional white that's simple in execution, style and taste.",US,13,Chardonnay,Insatiable,Insatiable 2012 Chardonnay (Lodi)
bb9d0fb8020ea697,92,"Stewed blackberry and black plum fruit meets with leather, black pepper and shiitake mushroom aromas on the nose of this blend of 45% Petite Sirah, 33% Syrah, 12% Mourv猫dre and 10% Grenache. It's savory on the palate, with dried herb and roast beef flavors set against a backdrop of black fruit. The acidity is searing toward the finish.",US,54,Red Blend,ONX,ONX 2014 Level 22 Red (Templeton Gap District)
184acebdbcad69f0,92,"Bright and spicy, this wine makes an immediate impact. The blueberry fruit has a sassy edge, and it penetrates through the middle into a finish with notes of black licorice, baking spices and coffee grounds. Firm, full and tight, the wine should age nicely now through 2025.",US,36,Pinot Noir,Colene Clemens,Colene Clemens 2012 Margo Pinot Noir (Chehalem Mountains)
e7997759205396ac,91,"Maison Louis Jadot's Willamette Valley project continues to bear fruit and has increased the production of this entry-level cuv茅e. A lovely, chunky mix of purple and black fruit, it's beautifully proportioned, with plenty of power, lacking only the depth of the older estate vines. It finishes on a lacy note of minerality.",US,45,Pinot Noir,R茅sonance,R茅sonance 2015 Pinot Noir (Willamette Valley)
105a0e36405fbb69,91,"Almost Champagne-like aromas of lemon-lime soda, lime marmalade, chalk, crisp apples, night jasmine and a bit of yeast entertain the nose on this bone-dry bottling from the Central Coast's longtime Alsatian-minded producer. The tongue tingles with acidity once sipped, with flavors of apple skin and lime zest growing tart as the wine lingers.",US,20,Gew眉rztraminer,Claiborne & Churchill,Claiborne & Churchill 2014 Gew眉rztraminer (Central Coast)
cb04df561c125790,92,"This vineyard was developed between 10 and 20 years ago. The maturing vines deliver a supple yet firm wine, anchored in a core of candy cherry fruit. Aromatic and flavorful highlights of cinnamon, clove and candied orange are also in play, along with a subtle hint of herb.",US,85,Pinot Noir,Archery Summit,Archery Summit 2013 Renegade Ridge Estate Pinot Noir (Dundee Hills)
da867490e0043b1a,92,"Sourced from the oldest vines in the vineyard, this lovely wine is scented with rose petals, cranberries and sour cherries. Those flavors continue in a light, elegant framework, that gains power and focus as it works its way through the palate. Don't quit on this; it won't quit on you, finishing with a lick of sea salt caramel chocolate.",US,60,Pinot Noir,Hyland,Hyland 2014 Coury Pinot Noir (McMinnville)
c97d28a2ae664ba0,91,"This white Rh么ne blend places Grenache Blanc at center stage, with Marsanne, Picpoul Blanc and Viognier playing supporting roles. It's fresh and engaging on the nose, suggesting caramelized pear, apple blossom and chalk. Laser-sharp acidity and chalky minerality balance bold lime custard and apple skin flavors.",US,22,Rh么ne-style White Blend,Seven Angels,Seven Angels 2014 Unorthodox White (Central Coast)
d91c91e9c1c2f241,92,"Aromas convey cedar, savory herb, earth, black licorice and cherry. The dark flavors are reserved in style but still display richness, supported by fine-grained tannins.",US,62,Cabernet Sauvignon,Chateau Rollat,Chateau Rollat 2011 Edouard Cabernet Sauvignon (Walla Walla Valley (WA))
e5e3d0d385585737,92,"Aromas of golden honey and concentrated white flowers entertain the nose on this dessert offering from the urban winery on Santa Barbara's Eastside. Quite delicious and balanced once sipped, the viscous flavors blend honey, lemonade reduction and guava, with bright acidity keeping it nicely alive on the palate.",US,30,Viognier,Jaffurs,Jaffurs 2012 Late Harvest Viognier (Santa Barbara County)
da73aafd1aa6d45e,94,"Though Viognier only makes up 1% of this wine, it substantially lifts the aromas, which bring notes of wild flowers along with blue and black fruit. The flavors are bold and full bodied, pulling no punches but showing exquisite concentration and length.",US,70,Syrah,Force Majeure,Force Majeure 2014 Estate Grown Syrah (Red Mountain)
7cc0c2d667ed0fab,89,"Bright fruit flavors light up this tart, medium-bodied wine. It smells like raspberries and red cherries, tastes crisp and bright and has a light nip of cranberry-like astringency.",US,30,Barbera,Wilderotter,Wilderotter 2014 Barbera (Shenandoah Valley (CA))
44a3521f6bf7a4dc,87,"High-toned apple cider notes dominate the nose on this concentrated blend of Riesling, Vidal Blanc and Chardonnay from Virginia's Veramar. Full bodied but dry with a rich viscosity and a brisk, lemony acidity, it's straightforward, but enjoyable for a casual night's fare.",US,20,White Blend,Veramar,Veramar NV Tres Blanc White (Virginia)
988852c729b7cb07,88,"A directly appealing wine with notes of apple, toast and melon. It's fresh in feel, medium bodied with a good sense of balance throughout and a lingering finish.",US,14,Chardonnay,Foris,Foris 2012 Chardonnay (Rogue Valley)
c555c04207363c74,91,"Distinct and delicious aromas of cr猫me br没l茅e with a strawberry glaze pick up some licorice and dark spice when digging deeper. The cranberry fruit's tartness, tannins, and acidity make for a mouth-rinsing wine. Serve with hearty pasta or rich meats.",US,29,Sangiovese,Pianetta,Pianetta 2011 Sangiovese (Paso Robles)
0131e2c3d29e99d7,92,"Mostly Cabernet, with a bit of Merlot and Malbec in the blend, the new Electrum shows flavors of mixed berry, plum and a hint of prune. The acids are tart, giving the wine good presence, and the balance and length are spot on.",US,65,Cabernet Sauvignon,Obelisco Estate,Obelisco Estate 2009 Electrum Cabernet Sauvignon (Red Mountain)
b0c471ebbf452418,92,"Dark, concentrated and practically dripping with ripe berry flavors, this wine shows the benefit of extra aging. It is unusually focused and delicious. Hints of cocoa and coffee join the dark blueberry and blackberry-syrup flavors, with very little evidence of oak.",US,28,Syrah,Fenestra,Fenestra 2011 Estate Syrah (Livermore Valley)
a1750293fa8048af,91,"Rich and chewy in blueberry fruit, Cuda continues to make a name for Livermore Valley Petit Verdot as a standalone wine, this one is huge in mouthfeel, as you'd expect, ready for savory, meaty fare.",US,34,Petit Verdot,Cuda Ridge Wines,Cuda Ridge Wines 2010 Petit Verdot (Livermore Valley)
8744c4775f0d9aa4,87,"This blend of 70% Syrah, 10% Merlot and 10% Sangiovese delivers vanilla, shaved coconut and dark fruit aromas. It's full bodied, with fruit and barrel-derived flavors that linger on the finish. The oak influence is cumbersome.",US,28,Rh么ne-style Red Blend,Chandler Reach,Chandler Reach 2013 Brevetatta Red (Yakima Valley)
f6c41b223a79e4db,82,"Bone dry and very acidic, almost sour, with watery flavors of orange and lemon cough drop candy. Gains a few points for elegance and cleanliness.",US,18,Ros茅,Loomis,Loomis 2009 Air Ros茅 (Napa Valley)
4f96ee1c35c868eb,91,"A Petite Sirah abundant in black pepper and cinnamon spice, structured, ripe and leathery. The tannins show promise for aging 5鈥? years, the wine's black fruit waiting to burst forth.",US,49,Petite Sirah,Aver Family Vineyards,Aver Family Vineyards 2009 Blessings Petite Sirah (Santa Clara Valley)
2084e81761c4afef,91,"Raspberry and pastry notes are inviting on this voluptuously foamy, yet bright and fruity sparkling. Primary red-fruit flavors dominate, but it's a brisk wine, with penetrating acidity and a clean, refreshing finish.",US,25,Pinot Noir,Hosmer,Hosmer NV Brut Ros茅 Pinot Noir (Finger Lakes)
fe9a4e21b2c7a14b,91,"Smoky char takes on a grilled meatiness in this wine, a fatness of bacon and blackberry jam emphasizing the intense ripeness and grip of it all. Blackberry jam and vanilla sweetness underscore its big personality.",US,34,Zinfandel,Beaulieu Vineyard,Beaulieu Vineyard 2013 Maestro Collection Ranch 11 Zinfandel (St. Helena)
41b4c33a5da47409,91,"Gutsy and full-bodied, this small-production wine offers more structure than usual, its bright acidity and ripe tannins in full support of the tasty red and black cherry flavors. With earth, beef and oak nuances, it will taste great with hearty proteins, especially after some cellaring. Best after 2020.",US,30,Barbera,Andis,Andis 2015 Barbera (Amador County)
e667905735cdf018,89,"Char and toast singe ruddy black cherries and plums in this dark, full-bodied Pinot Noir. It's plush and luscious in texture, with brambly notes on the midpalate and fine, slightly bitter tannins lend complexity.",US,20,Pinot Noir,Millbrook,Millbrook 2014 Pinot Noir (New York)
c1bb3582c3261ef6,89,"Unique aromas of lime blossoms, flowering herbs and a tiny bit of jalape帽o combine for a fascinating nose on this winery's entry-level offering. There is a slightly bell pepper element on the palate, but it's quite tasty alongside the ripe pears and other familiar flavors.",US,20,Chardonnay,Testarossa,Testarossa 2013 Cuvee 107 Chardonnay (Santa Lucia Highlands)
8a556c2287a8a599,89,"Hints of smoke on the nose dissipate with aeration to reveal a bright raspberry perfume. Full bodied and expansive on the palate, it offers up plenty of concentrated blackberry and cherry flavors. Zesty acidity leads a brisk, clean finish.",US,25,Cabernet Franc,Croteaux,Croteaux 2015 Jolie Ros茅 Cabernet Franc (North Fork of Long Island)
05e79aab1aa82126,87,"This thick, rich and dense wine may need time to overcome its wealth of leathery sinew and black pepper. The fruit is elusive, allowing the savory elements to dominate all around. This may need cellaring to come around, through 2020.",US,37,Zinfandel,Frank Family,Frank Family 2012 Reserve Zinfandel (Chiles Valley)
c6edff4abddd403d,87,"Soft, fruity and spicy, this Zinfandel is starting to pick up some bottle-age notes. The currant and black raspberry flavors are joined by saut茅ed mushroom and charred bone accents. The rich tannins suggest pairing it with roasted or barbecued meats.",US,25,Zinfandel,Wellington,Wellington 2008 Meeks Hilltop Ranch Zinfandel (Sonoma Valley)
81fb27a022f2c9ed,89,"While there isn't much subtlety, this is a strong wine, offering dry, oak-inspired pineapple- and orange-jam flavors. Crisp acids and a touch of steely minerals help to ground it. It shows enough elegance to drink with the finest foods.",US,36,Chardonnay,Longoria,Longoria 2010 Cuv茅e Diana Chardonnay (Sta. Rita Hills)
2f5488c2936ec3da,92,"There is a great amount of dark strawberry freshness on the nose of this intriguing and seductive bottling, enhanced by gravel, pepper and a distinctive mintiness. Peppercorns, beef char and smoke hit the palate alongside blueberry and boysenberry, with plum-skin tartness and firm tannins ensuring ageability.",US,30,Petit Verdot,Opaque,Opaque 2011 Petit Verdot (Paso Robles)
81fa487a5d31751f,88,"This wine is heavy and full-bodied for Pinot Noir, with soft acids and rich cherry, currant, anise and mocha flavors. Doesn't have the structure for aging, so drink up.",US,45,Pinot Noir,Peters Family,Peters Family 2009 Sonoma Stage VIneyard Pinot Noir (Sonoma Coast)
6aa4e5c8ffb6a482,87,"From vineyards in both Santa Barbara and Monterey, this blue-bottled wine shows honey, candied apple, orange blossom and lime peel scents. The palate is quite dry, with the slightest suggestion of sweetness, offering orange sorbet and grapefruit rind flavors.",US,12,Riesling,SeaGlass,SeaGlass 2016 Riesling (Central Coast)
a184f07ab2ea9b44,94,"The aromas draw you into the glass, with complex notes of smoked meat, plum, herb, flowers, orange peel and cinnamon. The mouthfeel is swoon-worthy, showing a compelling sense of intensity and balance. The sense of purity is knee buckling.",US,35,Syrah,Eight Bells,Eight Bells 2014 Eight Clones Red Willow Vineyard Syrah (Yakima Valley)
934f68872d076fe6,92,"A rustic nose gives way to a touch of clove and Asian spice, as full-bodied, robustly ripe baked plum and cherry generously provide flavor and power on the palate. The spiciness lingers on the finish.",US,64,Pinot Noir,Gracianna,Gracianna 2014 Estate Mercedes Riverblock Pinot Noir (Russian River Valley)
a82d07d9aabe9246,91,"This vineyard-designated Mourv猫dre is nearly 100% varietal with just a small splash of Syrah added. The grape's white pepper, pomegranate and gamy character is on full display here, framed by the refreshing acidity of the vintage.",US,40,Mourv猫dre,Apex,Apex 2010 Alder Ridge Vineyard Mourv猫dre (Horse Heaven Hills)
a240015b29da273f,92,"The aromas are brooding, with notes of wood spice, incense, black fruit and graphite. The palate brings bold blackberry flavors backed by firm tannins. It needs time to unwind. Best after 2020.",US,55,Cabernet Sauvignon,Two Vintners,Two Vintners 2014 Sal May's Discovery Vineyard Cabernet Sauvignon (Horse Heaven Hills)
309fbdaf6be4997b,87,"This is a good, well-made wine that hits the spot, with lively apple and citrus aromas, fresh and crisp fruit flavors, a lively mouthfeel and tangy finish. It will be easy to pair with appetizers, seafood and light entrees.",US,16,Sauvignon Blanc,McFadden,McFadden 2016 Blue Quail Sauvignon Blanc (Potter Valley)
3d172a64f28090b6,87,"This very focused wine is deeply colored, has smoky, meaty aromas and concentrated fruit flavors. It is full bodied, firm and moderately tannic in texture.",US,15,Syrah,Casto Oaks,Casto Oaks 2014 Syrah (Sierra Foothills)
8aef3f42f226f31b,82,"SweeTART candies and green Jolly Rancher aromas are like a punch in the face. Green apple-cider flavors carry the flabby, sweet palate.",US,16,White Blend,Fiesta Winery,Fiesta Winery NV Skinny Dippin White (Texas)
d678e0c72e97a801,87,"Superripe pineapple, lemonade and apricot flavors, coupled with acidity, give this Viognier a candied sweet-and-sour taste.",US,30,Viognier,Ranchero Cellars,Ranchero Cellars 2012 La Vista Vineyard Viognier (Paso Robles)
7842c4eef45fc6f0,87,"Very peppery and briary, with a slightly green, minty edge to the riper wild berries and tobacco. A good, gutsy Zinfandel of character and a sense of place.",US,25,Zinfandel,Fritz,Fritz 2007 Estate Grown Zinfandel (Dry Creek Valley)
b4225ab9b5a01855,89,Light aromas of plum and spice are followed by cherry flavors that show pleasing purity. This is a delightful example of the variety.,US,49,Malbec,William Grassie,William Grassie 2012 Petit Colline Malbec (Columbia Valley (WA))
3c6194b6e37eaa3f,89,"Delicate and complex, a cool climate wine with a mixture of ripe cherry flavors and leaner ones of tobacco, tomato skin, and cranberry. Bone dry with excellent acidity, this somewhat tart wine is well made, and may be an ager.",US,25,Pinot Noir,Kynsi,Kynsi 1999 Paragon Vineyard Pinot Noir (Edna Valley)
37bd1faa5b41f097,87,"Racy acidity gives this wine a clean, bracing mouthfeel. Then the fruit kicks in, filled with pineapples, green apples, lemons, limes and pears. But with a sugary finish, it could be drier.",US,19,Sauvignon Blanc,Hanna,Hanna 2010 Sauvignon Blanc (Russian River Valley)
e810ad938a097afa,84,"This blend of Sangiovese, Cabernet Sauvignon and Merlot is an Oregon winery's take on a super Tuscan red. Aromas are volatile and those high tones carry into the flavors. Light raspberry fruit, high acidity, and a sharp astringency characterize the wine.",US,27,Red Blend,Apolloni,Apolloni 2007 Conti di Val Seriana Soleggio Red (Columbia Valley (OR))
f62ddac084214a83,87,"Made from 100% Lake County-grown Riesling grapes, this opens with sweet aromas of nectar and golden honey. It's pretty and off dry (30 g/L residual sugar), remaining balance because of its crisp acidity.",US,13,Riesling,The White Knight,The White Knight 2010 Riesling (California)
79ad02e5cdb1f330,87,"With a delicate, silky mouthfeel and bright acidity, this wine fulfils Pinot's basic requirements. It has raspberry, persimmon and mushroom flavors, and also is quite tannic. Drink now, after decanting it for a while.",US,23,Pinot Noir,MacMurray Ranch,MacMurray Ranch 2012 Pinot Noir (Central Coast)
46ccfbffd339e66c,87,"This Chardonnay has fine acidity and even some minerality giving a bracing edge to ripe tropical fruit, peach and citrus flavors. It's heavily oaked, though, and has a soft ripeness that makes the wine almost off dry.",US,19,Chardonnay,Black Stallion,Black Stallion 2011 Chardonnay (Napa Valley)
3eba95718de6a963,88,"Fresh and leesy, this stainless steel-fermented Pinot Gris spent six months on the lees, giving it extra freshness and texture. Sweet grass and fresh herbs spread nicely across the palate, and the 15% alcohol does not register as such. In fact, if anything, this seems to fall on the lighter side of Oregon Pinot Gris, without the thick and heavy fresh cut pear character that many of them bring. Pair this with chanterelles in a light cream sauce.",US,18,Pinot Gris,Left Coast Cellars,Left Coast Cellars 2005 Pinot Gris (Willamette Valley)
72497ce3c49a843c,91,"Clean and light aromas of apples, sharp nectarine, yellow lilies and crushed white rocks make for a compelling nose on this bottling. The palate is very high-toned on first sip, then opens up with flavors of seared lemon rinds, saffron, sea salt and a light custard.",US,39,Marsanne,Michaud,Michaud 2015 Marsanne (Chalone)
de9f93a8dee2721b,83,"About a second after you sip this wine, the sugary fruit hits, like the blast of a gummy bears. The wine is front-loaded with raspberries, watermelons, persimmons and strawberries, and the acidity is pretty good, but it's simply too sweet and fruity.",US,35,Pinot Noir,Balverne,Balverne 2010 Estate Grown Pinot Noir (Russian River Valley)
fee1febf9be01ee9,85,"This new Cabernet Sauvignon has the raisined fruit flavors of an older, or quickly aging wine. Barrel aging contributes additional elements of soy and maple syrup, eventually thinning out through the finish. Drink soon.",US,30,Cabernet Sauvignon,Mannina Cellars,Mannina Cellars 2010 Cabernet Sauvignon (Walla Walla Valley (WA))
d0d7fa4717b0c57c,92,"This Foursight Pinot is one of two, in amount of oak used (40% new oak in this case).This is light in color, earthy with mushroom-y spice tones and a darker fruit and oak expression than other, lighter-styled Anderson Valley Pinots. The vineyard is closer to Boonville and thereby typically warmer than the valley's Deep End.",US,46,Pinot Noir,Foursight,Foursight 2010 Charles Vineyard Pinot Noir (Anderson Valley)
649ec79012291ff5,94,"Restrained in alcohol, this extreme Sonoma Coast Pinot delivers plenty of flavor, along the lines of funky, earthy licorice and whole-cluster cardamom spice, supported along the way by a pomegranate note. Zingy acidity is present, along with a low imprint of oak.",US,90,Pinot Noir,Flowers,Flowers 2012 Camp Meeting Ridge Estate Vineyard Pinot Noir (Sonoma Coast)
a759f93d92c58397,91,"Very rich and fruity, offering waves of ripe crushed pineapples, pears, vanilla bean, buttered popcorn and spices. What it lacks in subtlety it makes up for in sheer power.",US,32,Chardonnay,Thomas George,Thomas George 2008 Stuhlmuller Vineyard INOX Chardonnay (Alexander Valley)
0beab20c0764c337,81,"Barely drinkable, although you'll get by at big parties where nobody cares. It's silky, sweet and minty.",US,7,Pinot Noir,Backhouse,Backhouse 2010 Pinot Noir (California)
82d86ce09d0969f8,89,"This white is a study in unexpected complexity and pleasure. Quince, sulfur and grapefruit notes define it best, as supple minerality and gravelly texture provide dimensionality.",US,15,Chardonnay,Amici,Amici 2014 Olema Chardonnay (Sonoma County)
114f52cd3e049068,94,"Truly stunning, the Lewis Estate Riesling from Dunham explodes with fragrant fruits鈥攃itrus, melon and tropical. A symphony of subtle accents, such as powdered sugar, candied citrus peel and breakfast tea, this gorgeous bottle belongs with the short list of the very best of Washington's many Rieslings.",US,20,Riesling,Dunham,Dunham 2010 Lewis Estate Vineyard Riesling (Columbia Valley (WA))
411a812a5a98cf5c,89,"This wine's flinty, mineral aroma gives way to lively citrus flavors, great acidity and smooth texture that carry into the finish. It's subtle and medium bodied, with very good balance and enough complexity to hold interest.",US,17,Sauvignon Blanc,Brutocao,Brutocao 2016 Feliz Vineyard Estate Bottled Sauvignon Blanc (Mendocino)
b510c0174bc39f3f,87,"Who knew Ohio made such tasty Chardonnay? Bright and fresh, with scents of green apple, pear, fresh herbs and just a hint of nut oil. This dry, medium-bodied wine offsets juicy flavors of nectarines and apples against a backdrop of sweet cream and white flowers that lingers on the finish. Drink now.",US,11,Chardonnay,Debonn茅,Debonn茅 2009 Chardonnay (Grand River Valley)
