Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,gpt_point,predicted_score
63338,US,"Sourcing from three different, widely drawn appellations, with 33% of the grapes from Sonoma County, this white offers lemon-lime and grapefruit around a thin core of dried mint and lavender. Easygoing and not too fussy, it'll do well with food.",Winemaker's Blend,84,20,California,Sonoma County-Monterey County-Napa County,California Other,Virginie Boone,@vboone,Ghost Pines 2013 Winemaker's Blend Chardonnay (Sonoma County-Monterey County-Napa County),Chardonnay,Ghost Pines,87,85
97241,US,"A bit lighter in color than the producer's other 2012 bottling, this shows aromas of fresh-pressed raspberry juice, cola, white sage, graphite and a hint of wet asphalt. It's light and airy on the palate, with more raspberry and pomegranate fruit as well as sage, thyme and anise. It provides great balance between ripe juice and herbal seasonings.",Hapgood,93,84,California,Sta. Rita Hills,Central Coast,Matt Kettmann,@mattkettmann,Brewer-Clifton 2012 Hapgood Pinot Noir (Sta. Rita Hills),Pinot Noir,Brewer-Clifton,92,90
15251,US,"Named for an apple variety once common to the area, this vineyard sits outside the town of Graton in Green Valley and was developed in 2007. Elegant and weighty, it shows a youthful tightness of tannin and oak, its savory twists of black tea, blackberry and rhubarb compote chomping at the bit to be enjoyed. The acidity is mouthwatering.",Northern Spy Vineyard,93,85,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,EnRoute 2014 Northern Spy Vineyard Pinot Noir (Russian River Valley),Pinot Noir,EnRoute,92,92
116126,US,"James Mantone's white wines are always full of delicious fruits, but they go beyond that, bringing in sometimes exotic, often surprising grace notes. Here there is a pure thread of caraway, running through the melon and white peach core. It's 100% Roussanne, giving a rare and interesting glimpse into what specific identity the grape might have in Washington's future.",,88,22,Washington,Horse Heaven Hills,Columbia Valley,Paul Gregutt,@paulgwine聽,Syncline 2009 Roussanne (Horse Heaven Hills),Roussanne,Syncline,92,92
84793,US,"Slightly high-toned and sharp, this Bordeaux-style blend of 40% Merlot, 40% Cabernet Sauvignon and 20% Cabernet Franc was aged in a mix of French and American oak. Cherry cola flavors, with a dash of sassafras, are highlighted with hints of toasted walnuts. It's a good value, a bit tannic, but drinking nicely right now.",Derivative,89,20,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine聽,Market Vineyards 2010 Derivative Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Market Vineyards,87,87
109974,US,"Dark in color, this aromatic brooder brings notes of pencil lead, herb and black and purple fruit. Flavors are rich and liquorous, showing tannic heft along with a bit of astringency. The variety isn't readily apparent but the wine is delicious all the same.",,89,42,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Swiftwater Cellars 2014 Cabernet Franc (Columbia Valley (WA)),Cabernet Franc,Swiftwater Cellars,88,90
37154,US,"This may be the grapy-est, jammy-est wine on the market. Aromas are like Concord jam, while flavors recall Welch's juice. The body is full and the texture moderately tannic.",,85,15,California,El Dorado,Sierra Foothills,Jim Gordon,@gordone_cellars,Boeger 2013 Primitivo (El Dorado),Primitivo,Boeger,85,85
90356,US,"This could be labeled Merlot, which comprises three-quarters of the Bordeaux-style blend. Big, bold, dark and intensely aromatic, it's a bit tight and tannic at first, but opens gracefully into well-layered, powerfully-structured flavors of violets and smoke, cherries and chocolate. Highlights of ground coffee and graphite extend through the finish.",Long Haul,93,48,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine聽,Mark Ryan 2011 Long Haul Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Mark Ryan,92,92
111194,US,"Quite fruity and straightforward, with pleasant peach, melon and citrus flavors. The finish is clean and fresh and the wine well balanced.",Private Selection,84,9,California,Central Coast,Central Coast,,,Robert Mondavi 2002 Private Selection Johannisberg Riesling (Central Coast),Johannisberg Riesling,Robert Mondavi,89,87
48716,US,"If ripe, jammy fruit is what you like in an Oregon Pinot, this is your baby. A generous amount of strawberry and cherry flavor is wrapped in a cloak of chocolate from 14+ months in 60% new French oak.",,91,50,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine聽,Bomb 2012 Pinot Noir (Willamette Valley),Pinot Noir,Bomb,94,91
41225,US,Sweet red wines are hard to come by but Lescombes in New Mexico offers up this passable Beaujolais-like example. Scents of cinnamon spice and blueberry flavors in the mouth complete the unique profile.,Limited Release,83,36,New Mexico,New Mexico,,,,D.H. Lescombes 2007 Limited Release Cabernet Franc (New Mexico),Cabernet Franc,D.H. Lescombes,85,86
117576,US,"Here's a vibrantly fruity, fresh young wine. It's light in texture and silky, with crisp, lip-smacking flavors of cherries, raspberries, licorice, cola, clove and cinnamon. Delicious now.",,90,28,California,Edna Valley,Central Coast,,,Kynsi 2005 Pinot Noir (Edna Valley),Pinot Noir,Kynsi,92,89
77157,US,"Impeccably fresh, vivid and textural, this appealing wine brings a mix of orange peel, pink grapefruit and pear fruit. There's a pleasing touch of spice, and all but 5% was stainless-steel fermented.",,90,17,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine聽,Lange 2015 Pinot Gris (Willamette Valley),Pinot Gris,Lange,92,91
91756,US,"This dense, round, full-bodied red from a quiet appellation offers smoked plum and dark cherry flavors, with integrated oak and tannin.",Knights Reserve,91,40,California,Knights Valley,Sonoma,Virginie Boone,@vboone,Fortress 2013 Knights Reserve Cabernet Sauvignon (Knights Valley),Cabernet Sauvignon,Fortress,92,92
80820,US,"A Pommard clone, single-block bottling, this is jangly and tart, with pleasantly tangy raspberry and cherry candy fruit flavors. The promising beginning is not matched with the depth and complexity that a more complete blend would offer.",Block 4,89,44,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine聽,Winter's Hill 2012 Block 4 Pinot Noir (Dundee Hills),Pinot Noir,Winter's Hill,85,87
67693,US,"With a notable orange tinge, the aromas offer notes of flowers and orange peel, seeming to show a touch of oxygen exposure. It drinks off dry, with abundant orange-rind and smoke flavors.",L茅 Orange Vintner's Select,85,20,Washington,Washington,Washington Other,Sean P. Sullivan,@wawinereport,Almquist 2014 L茅 Orange Vintner's Select Pinot Gris (Washington),Pinot Gris,Almquist,89,85
126475,US,"Some winemakers have a special feel for Pinot Noir, and Michael Stevenson, winemaker for Elizabeth Chambers, has earned a place among those select few. Previously known as Panther Creek, the winery has been re-branded and re-imagined under the current owners. This deliberate, controlled single vineyard effort punches through with a concentrated mix of plum, rhubarb and cherry fruit, showing exceptional grip, balance and length.",Menefee Vineyard,93,48,Oregon,Willamette Valley,,Paul Gregutt,@paulgwine聽,Elizabeth Chambers 2014 Menefee Vineyard Pinot Noir,Pinot Noir,Elizabeth Chambers,92,92
119008,US,"Innocuous red fruit and a density of baked plum provide a fruity plushness in this travel-size wine, 100% varietal with ample tannin.",The Closer,85,13,California,Coombsville,Napa,Virginie Boone,@vboone,FlyWine 2013 The Closer Cabernet Sauvignon (Coombsville),Cabernet Sauvignon,FlyWine,88,87
79475,US,"Raspberries, cherries, cola and persimmons are the flavors of this fairly standard Pinot Noir. It's dry and delicately structured, with good acidity and a discrete coating of oak. Drink now.",Lennox Vineyard,86,59,California,Russian River Valley,Sonoma,,,Envolve 2012 Lennox Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Envolve,87,87
129791,US,"Floral and fruity, with hints of peach, muskmelon and quince, this concentrated Sauvignon Blanc bursts with fruity sweetness on the attack, becoming refreshingly dry and minerally on the midpalate. Lime-like acidity brightens the long, white-peach-flavored finish.",,89,18,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Hazlitt 1852 Vineyards 2011 Sauvignon Blanc (Finger Lakes),Sauvignon Blanc,Hazlitt 1852 Vineyards,92,90
117129,US,"An odd, one-dimensional white that's simple in execution, style and taste.",,81,13,California,Lodi,Central Valley,Virginie Boone,@vboone,Insatiable 2012 Chardonnay (Lodi),Chardonnay,Insatiable,82,85
123823,US,"Stewed blackberry and black plum fruit meets with leather, black pepper and shiitake mushroom aromas on the nose of this blend of 45% Petite Sirah, 33% Syrah, 12% Mourv猫dre and 10% Grenache. It's savory on the palate, with dried herb and roast beef flavors set against a backdrop of black fruit. The acidity is searing toward the finish.",Level 22,91,54,California,Templeton Gap District,Central Coast,Matt Kettmann,@mattkettmann,ONX 2014 Level 22 Red (Templeton Gap District),Red Blend,ONX,89,85
99049,US,"Bright and spicy, this wine makes an immediate impact. The blueberry fruit has a sassy edge, and it penetrates through the middle into a finish with notes of black licorice, baking spices and coffee grounds. Firm, full and tight, the wine should age nicely now through 2025.",Margo,92,36,Oregon,Chehalem Mountains,Willamette Valley,Paul Gregutt,@paulgwine聽,Colene Clemens 2012 Margo Pinot Noir (Chehalem Mountains),Pinot Noir,Colene Clemens,93,90
115129,US,"Maison Louis Jadot's Willamette Valley project continues to bear fruit and has increased the production of this entry-level cuv茅e. A lovely, chunky mix of purple and black fruit, it's beautifully proportioned, with plenty of power, lacking only the depth of the older estate vines. It finishes on a lacy note of minerality.",,92,45,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine聽,R茅sonance 2015 Pinot Noir (Willamette Valley),Pinot Noir,R茅sonance,90,88
25419,US,"Almost Champagne-like aromas of lemon-lime soda, lime marmalade, chalk, crisp apples, night jasmine and a bit of yeast entertain the nose on this bone-dry bottling from the Central Coast's longtime Alsatian-minded producer. The tongue tingles with acidity once sipped, with flavors of apple skin and lime zest growing tart as the wine lingers.",,90,20,California,Central Coast,Central Coast,Matt Kettmann,@mattkettmann,Claiborne & Churchill 2014 Gew眉rztraminer (Central Coast),Gew眉rztraminer,Claiborne & Churchill,92,91
6125,US,"This vineyard was developed between 10 and 20 years ago. The maturing vines deliver a supple yet firm wine, anchored in a core of candy cherry fruit. Aromatic and flavorful highlights of cinnamon, clove and candied orange are also in play, along with a subtle hint of herb.",Renegade Ridge Estate,92,85,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine聽,Archery Summit 2013 Renegade Ridge Estate Pinot Noir (Dundee Hills),Pinot Noir,Archery Summit,90,89
78378,US,"Sourced from the oldest vines in the vineyard, this lovely wine is scented with rose petals, cranberries and sour cherries. Those flavors continue in a light, elegant framework, that gains power and focus as it works its way through the palate. Don't quit on this; it won't quit on you, finishing with a lick of sea salt caramel chocolate.",Coury,91,60,Oregon,McMinnville,Willamette Valley,Paul Gregutt,@paulgwine聽,Hyland 2014 Coury Pinot Noir (McMinnville),Pinot Noir,Hyland,93,92
90872,US,"This white Rh么ne blend places Grenache Blanc at center stage, with Marsanne, Picpoul Blanc and Viognier playing supporting roles. It's fresh and engaging on the nose, suggesting caramelized pear, apple blossom and chalk. Laser-sharp acidity and chalky minerality balance bold lime custard and apple skin flavors.",Unorthodox,89,22,California,Central Coast,Central Coast,Matt Kettmann,@mattkettmann,Seven Angels 2014 Unorthodox White (Central Coast),Rh么ne-style White Blend,Seven Angels,92,90
40483,US,"Aromas convey cedar, savory herb, earth, black licorice and cherry. The dark flavors are reserved in style but still display richness, supported by fine-grained tannins.",Edouard,91,62,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Chateau Rollat 2011 Edouard Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,Chateau Rollat,91,90
14626,US,"Aromas of golden honey and concentrated white flowers entertain the nose on this dessert offering from the urban winery on Santa Barbara's Eastside. Quite delicious and balanced once sipped, the viscous flavors blend honey, lemonade reduction and guava, with bright acidity keeping it nicely alive on the palate.",Late Harvest,90,30,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,Jaffurs 2012 Late Harvest Viognier (Santa Barbara County),Viognier,Jaffurs,93,91
75507,US,"Though Viognier only makes up 1% of this wine, it substantially lifts the aromas, which bring notes of wild flowers along with blue and black fruit. The flavors are bold and full bodied, pulling no punches but showing exquisite concentration and length.",Estate Grown,93,70,Washington,Red Mountain,Columbia Valley,Sean P. Sullivan,@wawinereport,Force Majeure 2014 Estate Grown Syrah (Red Mountain),Syrah,Force Majeure,92,92
7633,US,"Bright fruit flavors light up this tart, medium-bodied wine. It smells like raspberries and red cherries, tastes crisp and bright and has a light nip of cranberry-like astringency.",,87,30,California,Shenandoah Valley (CA),Sierra Foothills,Jim Gordon,@gordone_cellars,Wilderotter 2014 Barbera (Shenandoah Valley (CA)),Barbera,Wilderotter,88,86
64832,US,"High-toned apple cider notes dominate the nose on this concentrated blend of Riesling, Vidal Blanc and Chardonnay from Virginia's Veramar. Full bodied but dry with a rich viscosity and a brisk, lemony acidity, it's straightforward, but enjoyable for a casual night's fare.",Tres Blanc,85,20,Virginia,Virginia,,Anna Lee C. Iijima,,Veramar NV Tres Blanc White (Virginia),White Blend,Veramar,88,85
110695,US,"A directly appealing wine with notes of apple, toast and melon. It's fresh in feel, medium bodied with a good sense of balance throughout and a lingering finish.",,90,14,Oregon,Rogue Valley,Southern Oregon,Sean P. Sullivan,@wawinereport,Foris 2012 Chardonnay (Rogue Valley),Chardonnay,Foris,89,89
120145,US,"Distinct and delicious aromas of cr猫me br没l茅e with a strawberry glaze pick up some licorice and dark spice when digging deeper. The cranberry fruit's tartness, tannins, and acidity make for a mouth-rinsing wine. Serve with hearty pasta or rich meats.",,91,29,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Pianetta 2011 Sangiovese (Paso Robles),Sangiovese,Pianetta,92,88
77317,US,"Mostly Cabernet, with a bit of Merlot and Malbec in the blend, the new Electrum shows flavors of mixed berry, plum and a hint of prune. The acids are tart, giving the wine good presence, and the balance and length are spot on.",Electrum,90,65,Washington,Red Mountain,Columbia Valley,Paul Gregutt,@paulgwine聽,Obelisco Estate 2009 Electrum Cabernet Sauvignon (Red Mountain),Cabernet Sauvignon,Obelisco Estate,92,91
92902,US,"Dark, concentrated and practically dripping with ripe berry flavors, this wine shows the benefit of extra aging. It is unusually focused and delicious. Hints of cocoa and coffee join the dark blueberry and blackberry-syrup flavors, with very little evidence of oak.",Estate,92,28,California,Livermore Valley,Central Coast,Jim Gordon,@gordone_cellars,Fenestra 2011 Estate Syrah (Livermore Valley),Syrah,Fenestra,94,92
115405,US,"Rich and chewy in blueberry fruit, Cuda continues to make a name for Livermore Valley Petit Verdot as a standalone wine, this one is huge in mouthfeel, as you'd expect, ready for savory, meaty fare.",,88,34,California,Livermore Valley,Central Coast,Virginie Boone,@vboone,Cuda Ridge Wines 2010 Petit Verdot (Livermore Valley),Petit Verdot,Cuda Ridge Wines,92,90
32559,US,"This blend of 70% Syrah, 10% Merlot and 10% Sangiovese delivers vanilla, shaved coconut and dark fruit aromas. It's full bodied, with fruit and barrel-derived flavors that linger on the finish. The oak influence is cumbersome.",Brevetatta,86,28,Washington,Yakima Valley,Columbia Valley,Sean P. Sullivan,@wawinereport,Chandler Reach 2013 Brevetatta Red (Yakima Valley),Rh么ne-style Red Blend,Chandler Reach,88,85
105440,US,"Bone dry and very acidic, almost sour, with watery flavors of orange and lemon cough drop candy. Gains a few points for elegance and cleanliness.",Air,84,18,California,Napa Valley,Napa,,,Loomis 2009 Air Ros茅 (Napa Valley),Ros茅,Loomis,82,83
122986,US,"A Petite Sirah abundant in black pepper and cinnamon spice, structured, ripe and leathery. The tannins show promise for aging 5鈥? years, the wine's black fruit waiting to burst forth.",Blessings,86,49,California,Santa Clara Valley,Central Coast,Virginie Boone,@vboone,Aver Family Vineyards 2009 Blessings Petite Sirah (Santa Clara Valley),Petite Sirah,Aver Family Vineyards,93,91
71563,US,"Raspberry and pastry notes are inviting on this voluptuously foamy, yet bright and fruity sparkling. Primary red-fruit flavors dominate, but it's a brisk wine, with penetrating acidity and a clean, refreshing finish.",Brut Ros茅,85,25,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Hosmer NV Brut Ros茅 Pinot Noir (Finger Lakes),Pinot Noir,Hosmer,91,90
11621,US,"Smoky char takes on a grilled meatiness in this wine, a fatness of bacon and blackberry jam emphasizing the intense ripeness and grip of it all. Blackberry jam and vanilla sweetness underscore its big personality.",Maestro Collection Ranch 11,85,34,California,St. Helena,Napa,Virginie Boone,@vboone,Beaulieu Vineyard 2013 Maestro Collection Ranch 11 Zinfandel (St. Helena),Zinfandel,Beaulieu Vineyard,92,92
59881,US,"Gutsy and full-bodied, this small-production wine offers more structure than usual, its bright acidity and ripe tannins in full support of the tasty red and black cherry flavors. With earth, beef and oak nuances, it will taste great with hearty proteins, especially after some cellaring. Best after 2020.",,92,30,California,Amador County,Sierra Foothills,Jim Gordon,@gordone_cellars,Andis 2015 Barbera (Amador County),Barbera,Andis,92,91
119130,US,"Char and toast singe ruddy black cherries and plums in this dark, full-bodied Pinot Noir. It's plush and luscious in texture, with brambly notes on the midpalate and fine, slightly bitter tannins lend complexity.",,87,20,New York,New York,New York Other,Anna Lee C. Iijima,,Millbrook 2014 Pinot Noir (New York),Pinot Noir,Millbrook,92,91
123363,US,"Unique aromas of lime blossoms, flowering herbs and a tiny bit of jalape帽o combine for a fascinating nose on this winery's entry-level offering. There is a slightly bell pepper element on the palate, but it's quite tasty alongside the ripe pears and other familiar flavors.",Cuvee 107,89,20,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Testarossa 2013 Cuvee 107 Chardonnay (Santa Lucia Highlands),Chardonnay,Testarossa,90,87
51659,US,"Hints of smoke on the nose dissipate with aeration to reveal a bright raspberry perfume. Full bodied and expansive on the palate, it offers up plenty of concentrated blackberry and cherry flavors. Zesty acidity leads a brisk, clean finish.",Jolie Ros茅,89,25,New York,North Fork of Long Island,Long Island,Anna Lee C. Iijima,,Croteaux 2015 Jolie Ros茅 Cabernet Franc (North Fork of Long Island),Cabernet Franc,Croteaux,92,89
6111,US,"This thick, rich and dense wine may need time to overcome its wealth of leathery sinew and black pepper. The fruit is elusive, allowing the savory elements to dominate all around. This may need cellaring to come around, through 2020.",Reserve,87,37,California,Chiles Valley,Napa,Virginie Boone,@vboone,Frank Family 2012 Reserve Zinfandel (Chiles Valley),Zinfandel,Frank Family,88,87
92564,US,"Soft, fruity and spicy, this Zinfandel is starting to pick up some bottle-age notes. The currant and black raspberry flavors are joined by saut茅ed mushroom and charred bone accents. The rich tannins suggest pairing it with roasted or barbecued meats.",Meeks Hilltop Ranch,90,25,California,Sonoma Valley,Sonoma,,,Wellington 2008 Meeks Hilltop Ranch Zinfandel (Sonoma Valley),Zinfandel,Wellington,92,87
77314,US,"While there isn't much subtlety, this is a strong wine, offering dry, oak-inspired pineapple- and orange-jam flavors. Crisp acids and a touch of steely minerals help to ground it. It shows enough elegance to drink with the finest foods.",Cuv茅e Diana,90,36,California,Sta. Rita Hills,Central Coast,,,Longoria 2010 Cuv茅e Diana Chardonnay (Sta. Rita Hills),Chardonnay,Longoria,87,90
124896,US,"There is a great amount of dark strawberry freshness on the nose of this intriguing and seductive bottling, enhanced by gravel, pepper and a distinctive mintiness. Peppercorns, beef char and smoke hit the palate alongside blueberry and boysenberry, with plum-skin tartness and firm tannins ensuring ageability.",,93,30,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Opaque 2011 Petit Verdot (Paso Robles),Petit Verdot,Opaque,92,92
5470,US,"This wine is heavy and full-bodied for Pinot Noir, with soft acids and rich cherry, currant, anise and mocha flavors. Doesn't have the structure for aging, so drink up.",Sonoma Stage VIneyard,86,45,California,Sonoma Coast,Sonoma,,,Peters Family 2009 Sonoma Stage VIneyard Pinot Noir (Sonoma Coast),Pinot Noir,Peters Family,88,87
63975,US,"From vineyards in both Santa Barbara and Monterey, this blue-bottled wine shows honey, candied apple, orange blossom and lime peel scents. The palate is quite dry, with the slightest suggestion of sweetness, offering orange sorbet and grapefruit rind flavors.",,85,12,California,Central Coast,Central Coast,Matt Kettmann,@mattkettmann,SeaGlass 2016 Riesling (Central Coast),Riesling,SeaGlass,90,89
20330,US,"The aromas draw you into the glass, with complex notes of smoked meat, plum, herb, flowers, orange peel and cinnamon. The mouthfeel is swoon-worthy, showing a compelling sense of intensity and balance. The sense of purity is knee buckling.",Eight Clones Red Willow Vineyard,92,35,Washington,Yakima Valley,Columbia Valley,Sean P. Sullivan,@wawinereport,Eight Bells 2014 Eight Clones Red Willow Vineyard Syrah (Yakima Valley),Syrah,Eight Bells,95,95
24155,US,"A rustic nose gives way to a touch of clove and Asian spice, as full-bodied, robustly ripe baked plum and cherry generously provide flavor and power on the palate. The spiciness lingers on the finish.",Estate Mercedes Riverblock,87,64,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Gracianna 2014 Estate Mercedes Riverblock Pinot Noir (Russian River Valley),Pinot Noir,Gracianna,92,89
23764,US,"This vineyard-designated Mourv猫dre is nearly 100% varietal with just a small splash of Syrah added. The grape's white pepper, pomegranate and gamy character is on full display here, framed by the refreshing acidity of the vintage.",Alder Ridge Vineyard,88,40,Washington,Horse Heaven Hills,Columbia Valley,Sean P. Sullivan,@wawinereport,Apex 2010 Alder Ridge Vineyard Mourv猫dre (Horse Heaven Hills),Mourv猫dre,Apex,92,90
99780,US,"The aromas are brooding, with notes of wood spice, incense, black fruit and graphite. The palate brings bold blackberry flavors backed by firm tannins. It needs time to unwind. Best after 2020.",Sal May's Discovery Vineyard,91,55,Washington,Horse Heaven Hills,Columbia Valley,Sean P. Sullivan,@wawinereport,Two Vintners 2014 Sal May's Discovery Vineyard Cabernet Sauvignon (Horse Heaven Hills),Cabernet Sauvignon,Two Vintners,90,90
33562,US,"This is a good, well-made wine that hits the spot, with lively apple and citrus aromas, fresh and crisp fruit flavors, a lively mouthfeel and tangy finish. It will be easy to pair with appetizers, seafood and light entrees.",Blue Quail,88,16,California,Potter Valley,,Jim Gordon,@gordone_cellars,McFadden 2016 Blue Quail Sauvignon Blanc (Potter Valley),Sauvignon Blanc,McFadden,89,87
3458,US,"This very focused wine is deeply colored, has smoky, meaty aromas and concentrated fruit flavors. It is full bodied, firm and moderately tannic in texture.",,88,15,California,Sierra Foothills,Sierra Foothills,Jim Gordon,@gordone_cellars,Casto Oaks 2014 Syrah (Sierra Foothills),Syrah,Casto Oaks,92,92
79715,US,"SweeTART candies and green Jolly Rancher aromas are like a punch in the face. Green apple-cider flavors carry the flabby, sweet palate.",Skinny Dippin,80,16,Texas,Texas,,Alexander Peartree,,Fiesta Winery NV Skinny Dippin White (Texas),White Blend,Fiesta Winery,75,82
9429,US,"Superripe pineapple, lemonade and apricot flavors, coupled with acidity, give this Viognier a candied sweet-and-sour taste.",La Vista Vineyard,82,30,California,Paso Robles,Central Coast,,,Ranchero Cellars 2012 La Vista Vineyard Viognier (Paso Robles),Viognier,Ranchero Cellars,93,89
106008,US,"Very peppery and briary, with a slightly green, minty edge to the riper wild berries and tobacco. A good, gutsy Zinfandel of character and a sense of place.",Estate Grown,87,25,California,Dry Creek Valley,Sonoma,,,Fritz 2007 Estate Grown Zinfandel (Dry Creek Valley),Zinfandel,Fritz,91,89
41137,US,Light aromas of plum and spice are followed by cherry flavors that show pleasing purity. This is a delightful example of the variety.,Petit Colline,90,49,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,William Grassie 2012 Petit Colline Malbec (Columbia Valley (WA)),Malbec,William Grassie,92,87
388,US,"Delicate and complex, a cool climate wine with a mixture of ripe cherry flavors and leaner ones of tobacco, tomato skin, and cranberry. Bone dry with excellent acidity, this somewhat tart wine is well made, and may be an ager.",Paragon Vineyard,88,25,California,Edna Valley,Central Coast,Roger Voss,@vossroger,Kynsi 1999 Paragon Vineyard Pinot Noir (Edna Valley),Pinot Noir,Kynsi,92,89
116822,US,"Racy acidity gives this wine a clean, bracing mouthfeel. Then the fruit kicks in, filled with pineapples, green apples, lemons, limes and pears. But with a sugary finish, it could be drier.",,84,19,California,Russian River Valley,Sonoma,,,Hanna 2010 Sauvignon Blanc (Russian River Valley),Sauvignon Blanc,Hanna,88,87
